customer_id,gender,age_group,income_group,education_level,marital_status,state,customer_job,total_income,cust_satisfaction_score
C000001,M,30-40,Med,Unknown,Unknown,NJ,Businessman,171355.03,3.6
C000002,M,30-40,High,Post-Graduate,Single,FL,Selfemployed,189731.96,2.12
C000003,M,40-50,Med,Graduate,Married,MI,Selfemployed,111508.42,1.76
C000004,F,50-60,High,Unknown,Single,TX,Blue-collar,25088.55,1.72
C000005,F,40-50,Med,Graduate,Married,MI,White-collar,228601.47,1.47
C000006,F,30-40,High,Graduate,Unknown,NJ,Blue-collar,223518.89,3.7
C000007,M,40-50,High,High School,Unknown,CA,Businessman,232079.91,1.55
C000008,F,30-40,Low,Post-Graduate,Married,NY,Govt,153743.98,2.24
C000009,M,30-40,Med,Uneducated,Unknown,NC,Blue-collar,213858.19,2.99
C000010,M,20-30,Med,Uneducated,Unknown,NC,Selfemployed,157215.7,3.94
C000011,F,20-30,Med,High School,Married,MI,Selfemployed,57298.37,1.98
C000012,M,30-40,High,Doctorate,Single,CA,White-collar,186973.59,3.73
C000013,F,50-60,Med,Graduate,Married,GA,Blue-collar,222723.72,1.05
C000014,M,30-40,High,Uneducated,Unknown,GA,Businessman,239345.81,3.39
C000015,M,30-40,High,Post-Graduate,Unknown,CA,Govt,195134.15,2.88
C000016,F,40-50,Med,Uneducated,Married,GA,Selfemployed,174550.41,1.14
C000017,F,50-60,Med,Unknown,Married,IL,Retirees,63265.34,3.05
C000018,M,60+,High,High School,Married,NY,Retirees,119922.53,3.91
C000019,M,30-40,Med,High School,Single,PA,Govt,216342.73,2.75
C000020,F,50-60,Low,Graduate,Unknown,FL,Businessman,38371.61,2.72
C000021,F,20-30,High,Unknown,Single,TX,Retirees,190040.69,2.24
C000022,F,40-50,Med,Uneducated,Unknown,GA,Govt,188344.96,2.67
C000023,M,40-50,High,Doctorate,Unknown,MI,Govt,212241.43,3.17
C000024,F,50-60,High,Unknown,Unknown,NJ,Govt,71492.43,4.38
C000025,M,60+,Low,Post-Graduate,Single,NJ,Retirees,206391.73,2.62
C000026,M,20-30,Med,Graduate,Single,IL,Selfemployed,74937.17,2.5
C000027,F,40-50,Low,Doctorate,Unknown,GA,White-collar,77424.52,1.93
C000028,M,50-60,Low,Post-Graduate,Married,NJ,Govt,205739.29,1.88
C000029,F,40-50,Low,Unknown,Single,GA,Selfemployed,151459.24,1.92
C000030,F,40-50,Low,Doctorate,Married,GA,Selfemployed,72757.11,1.4
C000031,F,40-50,Med,Uneducated,Married,IL,Govt,217056.7,4.43
C000032,M,40-50,Low,High School,Single,NJ,Businessman,15731.41,3.13
C000033,F,50-60,High,High School,Unknown,MI,Govt,46615.68,3.3
C000034,M,40-50,Med,Post-Graduate,Unknown,IL,Businessman,62242.78,3.18
C000035,F,40-50,Low,Doctorate,Single,NY,Selfemployed,117262.35,1.01
C000036,F,20-30,Low,Uneducated,Unknown,IL,White-collar,83482.19,1.04
C000037,M,40-50,Med,Uneducated,Single,NJ,Blue-collar,236751.97,1.99
C000038,F,50-60,Med,Doctorate,Married,FL,Govt,70593.4,4.2
C000039,M,30-40,Med,Uneducated,Unknown,NC,Businessman,182338.29,3.55
C000040,F,60+,High,High School,Unknown,PA,Retirees,230812.55,4.03
C000041,M,40-50,Med,Post-Graduate,Married,IL,Retirees,203427.91,2.93
C000042,F,30-40,Med,Post-Graduate,Single,PA,Businessman,191495.1,3.93
C000043,M,40-50,Med,High School,Unknown,NY,White-collar,111197.92,4.23
C000044,F,30-40,Low,Unknown,Married,GA,Retirees,168364.15,3.59
C000045,F,60+,Med,Doctorate,Married,NJ,Blue-collar,74446.69,4.1
