transaction_id,date,card_category,revenue,interest_earned,total_trans_amt,annual_fees,total_trans_count,customer_job,education_level,use_chip,exp_type,quarter,month,gender,age_group,income_group
T0000001,2023-06-15,Silver,47.19,5.87,2276.07,49,1,Govt,Doctorate,Swipe,Food,Q2,Jun,M,40-50,Low
T0000002,2023-05-04,Blue,59.03,1.4,1003.77,0,3,Govt,Graduate,Chip,Bills,Q2,May,F,40-50,Low
T0000003,2023-08-03,Blue,45.92,26.37,1604.51,0,5,Businessman,Post-Graduate,Swipe,Food,Q3,Aug,F,40-50,Low
T0000004,2023-01-31,Blue,12.08,14.88,636.1,0,5,Govt,Doctorate,Swipe,Grocery,Q1,Jan,M,40-50,Med
T0000005,2023-06-03,Blue,11.63,12.01,429.11,49,1,Selfemployed,Doctorate,Swipe,Fuel,Q2,Jun,F,40-50,Low
T0000006,2023-12-09,Blue,47.84,36.74,1458.14,0,4,Blue-collar,Post-Graduate,Chip,Food,Q4,Dec,M,40-50,Med
T0000007,2023-12-23,Blue,42.42,0.66,976.76,49,3,Businessman,Doctorate,Chip,Fuel,Q4,Dec,M,30-40,High
T0000008,2023-03-28,Blue,79.88,11.45,2293.7,49,5,Govt,Graduate,Swipe,Entertainment,Q1,Mar,F,40-50,High
T0000009,2023-05-23,Platinum,7.42,2.74,394.28,0,1,Govt,Post-Graduate,Swipe,Entertainment,Q2,May,M,60+,Med
T0000010,2023-09-06,Platinum,13.19,20.88,810.16,99,1,White-collar,Unknown,Swipe,Bills,Q3,Sep,M,40-50,High
T0000011,2023-08-22,Platinum,2.33,1.09,174.37,0,1,Retirees,Post-Graduate,Swipe,Entertainment,Q3,Aug,M,40-50,Low
T0000012,2023-06-24,Blue,15.43,10.2,535.72,0,5,Businessman,Graduate,Swipe,Fuel,Q2,Jun,F,20-30,Med
T0000013,2023-07-06,Blue,7.42,2.17,273.43,199,2,Businessman,Uneducated,Online,Entertainment,Q3,Jul,M,20-30,Med
T0000014,2023-09-22,Blue,96.84,16.93,2161.05,0,2,Blue-collar,Unknown,Swipe,Fuel,Q3,Sep,M,60+,Low
T0000015,2023-07-02,Gold,96.31,13.94,2049.47,99,4,Blue-collar,Post-Graduate,Chip,Entertainment,Q3,Jul,F,50-60,Low
T0000016,2023-07-02,Gold,139.23,67.15,2343.81,0,1,Businessman,Unknown,Swipe,Bills,Q3,Jul,M,40-50,High
T0000017,2023-04-23,Blue,81.94,4.17,1639.39,199,1,Govt,High School,Swipe,Fuel,Q2,Apr,F,40-50,High
T0000018,2023-07-18,Gold,109.07,32.88,2366.49,199,1,White-collar,Uneducated,Chip,Entertainment,Q3,Jul,M,20-30,High
T0000019,2023-03-23,Blue,50.5,42.12,1497.76,0,5,White-collar,Graduate,Swipe,Food,Q1,Mar,F,40-50,High
T0000020,2023-10-08,Blue,27.02,0.42,503.12,0,3,Businessman,Doctorate,Chip,Fuel,Q4,Oct,M,60+,Low
T0000021,2023-09-14,Blue,29.53,15.7,897.38,99,4,Blue-collar,Unknown,Swipe,Entertainment,Q3,Sep,F,60+,Low
T0000022,2023-09-14,Blue,6.69,7.27,391.51,0,5,White-collar,Post-Graduate,Swipe,Food,Q3,Sep,F,50-60,Low
T0000023,2023-02-01,Blue,34.36,10.76,706.75,99,1,Blue-collar,Post-Graduate,Swipe,Grocery,Q1,Feb,F,30-40,Low
T0000024,2023-02-02,Blue,71.56,15.02,2022.26,99,3,Blue-collar,Post-Graduate,Swipe,Bills,Q1,Feb,M,40-50,Med
T0000025,2023-10-14,Platinum,8.42,12.39,616.78,0,2,White-collar,Uneducated,Swipe,Bills,Q4,Oct,M,20-30,Med
T0000026,2023-11-26,Blue,73.08,30.68,1228.41,0,4,White-collar,Unknown,Chip,Travel,Q4,Nov,F,40-50,Low
T0000027,2023-09-21,Blue,52.27,13.35,1157.5,99,5,Govt,High School,Swipe,Bills,Q3,Sep,F,40-50,Med
T0000028,2023-06-01,Blue,5.78,0.96,118.18,0,4,Businessman,Graduate,Online,Grocery,Q2,Jun,F,30-40,Low
T0000029,2023-12-13,Platinum,3.11,4.99,241.87,49,1,Selfemployed,Uneducated,Swipe,Food,Q4,Dec,M,50-60,High
T0000030,2023-05-18,Silver,3.4,9.6,321.76,49,3,Retirees,Graduate,Chip,Bills,Q2,May,F,30-40,Low
T0000031,2023-11-15,Blue,13.32,4.76,520.39,0,3,Blue-collar,Doctorate,Swipe,Bills,Q4,Nov,M,20-30,Low
T0000032,2023-08-17,Blue,69.02,10.45,1838.04,49,2,White-collar,Unknown,Swipe,Bills,Q3,Aug,F,20-30,Med
T0000033,2023-08-17,Blue,66.66,61.33,2456.45,199,2,Retirees,Uneducated,Chip,Fuel,Q3,Aug,M,50-60,Med
T0000034,2023-07-27,Silver,11.95,5.99,229.52,199,3,Businessman,High School,Swipe,Fuel,Q3,Jul,M,30-40,Med
T0000035,2023-11-03,Blue,141.02,39.48,2405.23,0,1,Selfemployed,Graduate,Swipe,Bills,Q4,Nov,F,30-40,Med
T0000036,2023-06-08,Blue,28.29,47.68,1945.07,0,4,White-collar,Graduate,Swipe,Bills,Q2,Jun,F,30-40,Med
T0000037,2023-10-28,Blue,96.88,20.98,1795.66,0,4,Businessman,Unknown,Swipe,Bills,Q4,Oct,F,50-60,High
T0000038,2023-03-18,Blue,34.51,31.96,2034.3,99,5,Blue-collar,Doctorate,Swipe,Food,Q1,Mar,M,50-60,High
T0000039,2023-01-09,Platinum,9.81,1.1,350.07,49,5,Blue-collar,Doctorate,Chip,Grocery,Q1,Jan,F,20-30,Low
T0000040,2023-01-26,Blue,65.93,30.12,1875.7,199,5,Retirees,Post-Graduate,Chip,Fuel,Q1,Jan,M,50-60,Low
T0000041,2023-02-03,Gold,53.88,41.39,1631.83,0,4,Govt,Unknown,Chip,Food,Q1,Feb,F,30-40,Low
T0000042,2023-12-17,Blue,73.03,30.48,1635.81,0,1,Businessman,Post-Graduate,Chip,Bills,Q4,Dec,F,40-50,High
T0000043,2023-09-04,Blue,24.24,16.76,728.15,99,2,Selfemployed,Doctorate,Swipe,Bills,Q3,Sep,M,50-60,Med
T0000044,2023-06-09,Silver,54.68,27.34,979.38,0,5,Govt,Graduate,Swipe,Bills,Q2,Jun,M,60+,High
T0000045,2023-02-16,Blue,38.05,47.51,1764.28,49,4,Blue-collar,Unknown,Online,Bills,Q1,Feb,M,50-60,High
T0000046,2023-01-13,Blue,41.81,0.04,803.87,0,4,Govt,Doctorate,Swipe,Entertainment,Q1,Jan,M,40-50,Low
T0000047,2023-03-03,Silver,52.84,2.26,987.6,49,3,White-collar,Doctorate,Swipe,Grocery,Q1,Mar,M,20-30,Med
T0000048,2023-01-25,Blue,39.06,18.91,802.69,49,1,Businessman,Doctorate,Swipe,Food,Q1,Jan,M,40-50,Low
T0000049,2023-11-20,Blue,79.66,16.2,1886.62,0,5,Blue-collar,Post-Graduate,Swipe,Bills,Q4,Nov,M,40-50,High
T0000050,2023-03-07,Blue,20.9,12.28,611.89,0,2,Govt,Unknown,Swipe,Bills,Q1,Mar,M,40-50,High
T0000051,2023-11-26,Blue,80.96,10.43,2491.26,0,2,White-collar,Post-Graduate,Chip,Fuel,Q4,Nov,M,60+,Low
T0000052,2023-02-16,Blue,57.58,23.33,1879.15,99,2,Blue-collar,Graduate,Swipe,Entertainment,Q1,Feb,F,50-60,High
T0000053,2023-07-12,Blue,65.59,43.48,2244.04,49,3,Businessman,Uneducated,Swipe,Travel,Q3,Jul,F,20-30,Low
T0000054,2023-01-12,Blue,55.83,24.54,990.97,49,4,Govt,Doctorate,Chip,Grocery,Q1,Jan,M,20-30,High
T0000055,2023-05-08,Gold,19.6,7.34,1946.62,99,1,White-collar,High School,Swipe,Travel,Q2,May,M,20-30,Low
T0000056,2023-11-27,Gold,43.73,4.4,764.87,0,2,White-collar,Doctorate,Swipe,Fuel,Q4,Nov,F,20-30,High
